id,role,role_cluster,role_category
59,Advocacy Adviser,-1,Advocacy / Campaigning / Fundraising
86,Grants & Information Manager,-1,Advocacy / Campaigning / Fundraising
87,Lead content editor,-1,Advocacy / Campaigning / Fundraising
98,Business Development/Fundraising,-1,Advocacy / Campaigning / Fundraising
236,fundraiser,-1,Advocacy / Campaigning / Fundraising
234,Fundraiser,-1,Advocacy / Campaigning / Fundraising
231,Corporate Fundraising,-1,Advocacy / Campaigning / Fundraising
178,Senior Digital Fundraising Executive,-1,Advocacy / Campaigning / Fundraising
180,Fundraising,-1,Advocacy / Campaigning / Fundraising
56,Regional Director Asia,-1,Country / Regional Director
90,RD,-1,Country / Regional Director
132,DC,-1,Country / Regional Director
240,RD,-1,Country / Regional Director
244,Regional Director,-1,Country / Regional Director
245,Country Director ,4,Country / Regional Director
214,Country Director,4,Country / Regional Director
150,Country Director,4,Country / Regional Director
130,Country Director,4,Country / Regional Director
77,Country Director,4,Country / Regional Director
103,Country Director,4,Country / Regional Director
41,Country Director,4,Country / Regional Director
38,Education Coordinator ,-1,Education
121,Education Programme Coordinator ,-1,Education
148,Education Officer - Gender and Protection,-1,Education
54,Finance Intern,-1,Finance
185,Finance and Operations Director-SCC,-1,Finance
145,Finance Stagist,-1,Finance
140,Senior Finance Officer,-1,Finance
203,ERP Project Finance Advisor,-1,Finance
194,Accountant,-1,Finance
177,International Accounting Services Accountant,-1,Finance
36,FINANCE OFFICER,2,Finance
199,Finance Support Officer,2,Finance
196,Finance,2,Finance
220,Finance Officer ,2,Finance
111,Finance Manager,2,Finance
25,Finance,2,Finance
192,Finance Manager,2,Finance
34,protection assistant,-1,Gender / Inclusion / Protection
119,Programme Coordinator-Gender and Protection,-1,Gender / Inclusion / Protection
191,Gender and Protection officer,-1,Gender / Inclusion / Protection
189,Gender Equality Diversity Inclusion- Specialist ,-1,Gender / Inclusion / Protection
28,Institutional Funding Manager ,-1,Grants
93,Grants Manager,-1,Grants
155,International Programme Support Department - KOICA Grant Manager,-1,Grants
246,Grants Manager,-1,Grants
223,grants coodinator,-1,Grants
14,Health and Nutrition Projects Manager,-1,Health / Nutrition
37,Nutrition intern,-1,Health / Nutrition
49,Project Pharmacist,-1,Health / Nutrition
74,Medical Supervisor,-1,Health / Nutrition
117,H&N project officer,-1,Health / Nutrition
101,Reproductive health officer ,-1,Health / Nutrition
184,Head of Health Support,-1,Health / Nutrition
212,"field officer, a clinician",-1,Health / Nutrition
5,HR/Admin Officer ,-1,Human Resources / Admin
33,HR Advisor,-1,Human Resources / Admin
60,HR Officer,-1,Human Resources / Admin
79,Administrative Assistant ,-1,Human Resources / Admin
80,Head of HR,-1,Human Resources / Admin
115,Administrative support officer ,-1,Human Resources / Admin
174,HR Officer,-1,Human Resources / Admin
141,HR Manager,-1,Human Resources / Admin
144,Administration Officer,-1,Human Resources / Admin
243,Director Human Resources,-1,Human Resources / Admin
201,Admin Support Officer,-1,Human Resources / Admin
198,Learning manager,-1,Human Resources / Admin
197,International HR Advisor,-1,Human Resources / Admin
12,Senior Data Analyst,-1,IT
44,IT Helpdesk Manager,-1,IT
91,Information Manager,-1,IT
187,Information Management Advisor ,-1,IT
153,Senior Data Analyst,-1,IT
230,Data and Information Manager,-1,IT
181,Data analyst,-1,IT
76,IT Officer,3,IT
188,IT Manager,3,IT
71,IT,3,IT
30,IT Officer,3,IT
11,IT Support Officer,3,IT
27,IT Manager,3,IT
67,SENIOR LIVELIHOODS OFFICER,-1,Livelihoods
